Area,Area Code,Year,Value
China,351,2005,44452440
China,351,2006,44518680
China,351,2007,47115830
China,351,2008,50303990
China,351,2009,52221980
China,351,2010,53027200
China,351,2011,47109880
China,351,2012,49165710
China,351,2013,48351780
China,351,2014,46326400
China,351,2015,47012348.17
France,68,1961,1670000
France,68,1962,1700000
France,68,1963,1730000
France,68,1964,1750000
France,68,1965,1800000
France,68,1966,1380000
France,68,1967,1380000
France,68,1968,1580000
France,68,1969,1653980
France,68,1970,1647560
France,68,1971,1626370
France,68,1972,1568480
France,68,1973,1580000
France,68,1974,1620640
France,68,1975,1644020
France,68,1976,1647550
France,68,1977,1689540
France,68,1978,1705460
France,68,1979,1691901.88
France,68,1980,1762903.75
France,68,1981,1859650
France,68,1982,1870000
France,68,1983,1870000
France,68,1984,1850000
France,68,1985,2097590
France,68,1986,2085420
France,68,1987,2075440
France,68,1988,2110840
France,68,1989,2018080
France,68,1990,1941660
France,68,1991,2111040
France,68,1992,2139600
France,68,1993,2187520
France,68,1994,2190890
France,68,1995,2204990
France,68,1996,2266030
France,68,1997,2311430
France,68,1998,2331490
France,68,1999,2239390
France,68,2000,2141870
France,68,2001,2161770
France,68,2002,2107480
France,68,2003,2057320
France,68,2004,1973610
France,68,2005,1917320
France,68,2006,1825780
France,68,2007,1917240
France,68,2008,1927350
France,68,2009,1966080
France,68,2010,2315270
France,68,2011,2329100
France,68,2012,2411330
France,68,2013,2515810
France,68,2014,1681790
France,68,2015,1721260
Greece,84,1961,143366.8
Greece,84,1962,150303.6
Greece,84,1963,171612.5
Greece,84,1964,178514.1
Greece,84,1965,185351.99
Greece,84,1966,217830.1
Greece,84,1967,250172.5
Greece,84,1968,249597.6
Greece,84,1969,253156.99
Greece,84,1970,224939.61
Greece,84,1971,241329.9
Greece,84,1972,286440
Greece,84,1973,306620
Greece,84,1974,295660
Greece,84,1975,300530.1
Greece,84,1976,288430.1
Greece,84,1977,299627.21
Greece,84,1978,281850.1
Greece,84,1979,296605.29
Greece,84,1980,294400
Greece,84,1981,295620
Greece,84,1982,295440
Greece,84,1983,302530
Greece,84,1984,290820
Greece,84,1985,291230
Greece,84,1986,280290
Greece,84,1987,291230
Greece,84,1988,268890
Greece,84,1989,272950
Greece,84,1990,275780
Greece,84,1991,267670
Greece,84,1992,273760
Greece,84,1993,275090.03
Greece,84,1994,278045.46
Greece,84,1995,274625.75
Greece,84,1996,276498.96
Greece,84,1997,277744.68
Greece,84,1998,281659.71
Greece,84,1999,282066.16
Greece,84,2000,302888.91
Greece,84,2001,299611.97
Greece,84,2002,285155.23
Greece,84,2003,298883.71
Greece,84,2004,289386.65
Greece,84,2005,303911.43
Greece,84,2006,313719.93
Greece,84,2007,314243.66
Greece,84,2008,317647.41
Greece,84,2009,289596.61
Greece,84,2010,278410.75
Greece,84,2011,290000.13
Greece,84,2012,280832.11
Greece,84,2013,303244.44
Greece,84,2014,320620
Greece,84,2015,318105.18
India,100,1961,1076000
India,100,1962,1072000
India,100,1963,1068000
India,100,1964,1065000
India,100,1965,1061000
India,100,1966,1057000
India,100,1967,1170000
India,100,1968,1200000
India,100,1969,1230000
India,100,1970,1270000
India,100,1971,1320000
India,100,1972,1295000
India,100,1973,1390000
India,100,1974,1400000
India,100,1975,1410000
India,100,1976,1420000
India,100,1977,1493000
India,100,1978,1679000
India,100,1979,1771000
India,100,1980,1868000
India,100,1981,1970000
India,100,1982,1805000
India,100,1983,2198000
India,100,1984,2325000
India,100,1985,2460000
India,100,1986,2602000
India,100,1987,2510000
India,100,1988,2565000
India,100,1989,2620000
India,100,1990,2680000
India,100,1991,2740000
India,100,1992,2840250
India,100,1993,2910000
India,100,1994,2980000
India,100,1995,3060000
India,100,1996,3140000
India,100,1997,3154280
India,100,1998,3340000
India,100,1999,3530000
India,100,2000,3740000
India,100,2001,3960000
India,100,2002,4190000
India,100,2003,4573990
India,100,2004,4930760
India,100,2005,5315360
India,100,2006,5729960
India,100,2007,6177340
India,100,2008,6325600
India,100,2009,6477400
India,100,2010,6633000
India,100,2011,6790000
India,100,2012,6926460
India,100,2013,7090000
India,100,2014,7250000
India,100,2015,7403685.99
Iraq,103,1961,65000
Iraq,103,1962,71000
Iraq,103,1963,75000
Iraq,103,1964,79000
Iraq,103,1965,52900.2
Iraq,103,1966,53937
Iraq,103,1967,70000
Iraq,103,1968,85000
Iraq,103,1969,100000
Iraq,103,1970,118610
Iraq,103,1971,124000
Iraq,103,1972,130000
Iraq,103,1973,139000
Iraq,103,1974,147000
Iraq,103,1975,154040
Iraq,103,1976,155000
Iraq,103,1977,153950
Iraq,103,1978,205000
